nickel,cobalt,manganese,accuracy
55,38,7,82.89
77,12,11,82.47
69,12,19,80.82
76,21,3,84.4
15,58,27,83.33
61,33,6,86.13
74,18,8,79.96
39,53,8,86.41
32,59,9,87.6
61,22,17,81.78
18,32,50,84.94
79,12,9,82.32
28,47,25,83.37
20,61,19,88.54
49,31,20,84.67
52,26,22,82.01
24,58,18,87.27
20,76,4,89.89
16,70,14,89.99
33,43,24,84.17
80,14,6,79.25
53,22,25,83.25
76,24,0,80.27
79,12,9,82.49
57,38,5,86.47
77,16,7,84.04
61,20,19,79.27
73,26,1,81.86
36,59,5,88.47
36,55,9,86.97
12,30,58,80.07
39,52,9,87.28
70,18,12,83.54
11,62,27,84.26
60,33,7,81.63
71,24,5,81.42
36,13,51,84.09
31,37,32,82.78
20,72,8,84.3
80,19,1,81.33
15,49,36,85.46
80,18,2,80.04
40,41,19,85.6
49,10,41,82.06
77,19,4,79.97
32,38,30,81.21
36,35,29,85.38
60,23,17,79.89
18,24,58,80.32
59,14,27,83.98
13,32,55,82.39
66,11,23,79.04
12,66,22,86.2
25,47,28,83.01
68,14,18,83.75
49,13,38,83.34
74,21,5,80.54
33,64,3,88.38
35,45,20,82.01
77,12,11,80.18
40,37,23,83.01
11,47,42,86.39
23,45,32,83.79
76,15,9,83.8
44,15,41,81.4
60,22,18,82.29
25,68,7,84.7
52,31,17,83.17
35,10,55,79.16
35,19,46,82.01
55,26,19,81.08
79,10,11,80.01
67,13,20,79.01
37,38,25,82.99
37,14,49,81.72
78,18,4,80.2
23,21,56,84.9
37,57,6,86.32
66,31,3,84.23
11,65,24,84.4
33,36,31,84.07
50,17,33,80.65
79,21,0,81.08
38,24,38,83.16
23,43,34,82.44
71,21,8,81.09
68,31,1,82.39
14,52,34,87.69
44,16,40,81.27
27,60,13,87.68
26,54,20,88.09
31,31,38,81.27
79,20,1,84.08
54,10,36,80.13
12,12,76,79.41
79,13,8,81.99
27,71,2,87.06
74,12,14,81.77
14,70,16,84.15
60,39,1,86.66
78,20,2,81.72
69,22,9,81.24
64,32,4,83.35
25,55,20,87.35
32,26,42,82.51
68,31,1,80.77
51,16,33,82.72
21,62,17,83.9
31,17,52,82.2
72,18,10,80.78
62,14,24,84.31
28,42,30,82.19
76,16,8,81.68
33,39,28,82.27
17,47,36,82.28
23,32,45,80.49
58,37,5,86.09
42,19,39,80.88
10,66,24,88.67
26,59,15,83.77
65,24,11,80.94
14,13,73,83.25
76,22,2,84.92
10,48,42,84.77
11,16,73,80.51
17,61,22,85.49
43,26,31,79.63
49,18,33,80.31
29,51,20,83.18
13,33,54,81.84
80,16,4,81.83
51,11,38,81.52
26,57,17,88.64
53,20,27,84.56
34,49,17,85.87
18,78,4,87.9
46,39,15,82.79
47,53,0,83.96
12,61,27,87.6
29,36,35,86.2
68,25,7,84.2
24,67,9,87.92
29,54,17,87.43
50,38,12,82.98
26,18,56,82.67
74,13,13,82.34
22,43,35,82.32
75,23,2,80.91
48,49,3,85.06
15,67,18,85.39
73,23,4,83.04
44,15,41,83.32
58,26,16,84.59
54,35,11,81.24
39,35,26,84.53
62,30,8,85.26
39,28,33,80.19
59,18,23,80.44
13,24,63,85.33
79,21,0,84.58
64,11,25,81.87
45,30,25,85.57
28,41,31,84.6
58,37,5,84.76
55,10,35,78.01
36,16,48,81.24
21,36,43,85.58
65,10,25,82.25
19,38,43,85.3
75,25,0,82.56
30,32,38,85.51
66,12,22,78.88
60,13,27,83.99
63,37,0,86.58
69,26,5,81.22
38,48,14,86.27
17,13,70,79.23
75,15,10,80.05
64,36,0,85.58
14,22,64,83.07
46,36,18,81.94
46,42,12,81.59
44,47,9,82.1
29,18,53,83.79
46,23,31,81.95
62,37,1,81.75
60,21,19,79.69
41,35,24,81.6
80,12,8,82.44
29,34,37,80.46
17,38,45,86.01
23,22,55,80.46
21,42,37,81.31
67,28,5,80.03
61,17,22,82.21
19,15,66,78.6
51,22,27,81.9
37,59,4,85.48
31,18,51,81.91
10,70,20,86.43
00,00,00,00.00
