ni_pct,co_pct,mn_pct,ni_to_co_ratio,ni_to_mn_ratio,dopant_sum,temp_C,c_rate,predicted_accuracy,baseline_accuracy,improvement_pct
42.47,25.75,31.78,1.65,1.34,100.0,55,1.0,79.62,75.0,4.62
46.41,24.95,28.65,1.86,1.62,100.0,40,2.0,69.56,75.0,-5.44
67.76,23.32,8.93,2.91,7.59,100.0,40,1.0,81.9,75.0,6.9
55.92,23.6,20.48,2.37,2.73,100.0,70,2.0,66.62,75.0,-8.38
29.36,44.79,25.85,0.66,1.14,100.0,70,5.0,31.73,75.0,-43.27
29.36,13.53,57.11,2.17,0.51,100.0,40,5.0,67.71,75.0,-7.29
23.49,41.07,35.44,0.57,0.66,100.0,40,2.0,64.67,75.0,-10.33
56.58,17.05,26.37,3.32,2.15,100.0,25,5.0,64.61,75.0,-10.39
56.07,17.27,26.66,3.25,2.1,100.0,55,0.5,77.65,75.0,2.65
62.48,27.21,10.3,2.3,6.06,100.0,40,1.0,73.49,75.0,-1.51
21.24,16.62,62.14,1.28,0.34,100.0,70,2.0,73.01,75.0,-1.99
26.64,34.29,39.07,0.78,0.68,100.0,25,5.0,56.38,75.0,-18.62
57.66,29.06,13.27,1.98,4.34,100.0,25,5.0,58.3,75.0,-16.7
32.74,35.41,31.85,0.92,1.03,100.0,70,0.5,63.73,75.0,-11.27
30.91,17.86,51.23,1.73,0.6,100.0,70,1.0,76.5,75.0,1.5
31.0,18.47,50.53,1.68,0.61,100.0,25,0.5,91.89,75.0,16.89
38.25,11.66,50.09,3.28,0.76,100.0,70,2.0,75.27,75.0,0.27
51.49,22.88,25.63,2.25,2.01,100.0,25,5.0,58.3,75.0,-16.7
45.92,32.39,21.69,1.42,2.12,100.0,70,5.0,41.96,75.0,-33.04
37.47,44.32,18.21,0.85,2.06,100.0,25,5.0,46.85,75.0,-28.15
56.71,36.68,6.61,1.55,8.58,100.0,40,0.5,70.41,75.0,-4.59
28.37,27.42,44.21,1.03,0.64,100.0,40,0.5,77.68,75.0,2.68
37.53,48.12,14.35,0.78,2.62,100.0,70,1.0,53.76,75.0,-21.24
41.98,38.77,19.25,1.08,2.18,100.0,55,2.0,63.37,75.0,-11.63
47.36,47.21,5.43,1.0,8.72,100.0,40,1.0,56.58,75.0,-18.42
31.2,44.63,24.17,0.7,1.29,100.0,25,1.0,60.32,75.0,-14.68
31.98,20.36,47.66,1.57,0.67,100.0,55,5.0,60.88,75.0,-14.12
50.85,12.11,37.03,4.2,1.37,100.0,25,0.5,92.39,75.0,17.39
55.54,39.04,5.41,1.42,10.26,100.0,25,2.0,61.08,75.0,-13.92
22.79,14.85,62.36,1.53,0.37,100.0,40,1.0,89.8,75.0,14.8
56.45,22.11,21.44,2.55,2.63,100.0,70,2.0,70.18,75.0,-4.82
30.23,31.3,38.47,0.97,0.79,100.0,70,5.0,41.31,75.0,-33.69
23.9,32.58,43.52,0.73,0.55,100.0,25,1.0,74.59,75.0,-0.41
50.61,11.28,38.1,4.48,1.33,100.0,40,0.5,97.36,75.0,22.36
77.94,16.65,5.41,4.68,14.4,100.0,25,1.0,85.64,75.0,10.64
68.5,25.19,6.31,2.72,10.86,100.0,55,5.0,54.03,75.0,-20.97
38.28,34.69,27.04,1.1,1.42,100.0,25,1.0,76.94,75.0,1.94
25.86,48.79,25.35,0.53,1.02,100.0,40,5.0,40.43,75.0,-34.57
51.75,35.75,12.5,1.45,4.14,100.0,25,1.0,73.61,75.0,-1.39
46.41,46.9,6.69,0.99,6.94,100.0,40,2.0,56.99,75.0,-18.01
27.32,40.49,32.19,0.67,0.85,100.0,70,0.5,64.99,75.0,-10.01
49.71,33.67,16.62,1.48,2.99,100.0,40,5.0,49.13,75.0,-25.87
22.06,17.68,60.26,1.25,0.37,100.0,55,2.0,78.17,75.0,3.17
60.8,26.99,12.2,2.25,4.98,100.0,40,5.0,52.56,75.0,-22.44
35.53,34.94,29.54,1.02,1.2,100.0,55,1.0,67.54,75.0,-7.46
59.75,34.1,6.15,1.75,9.71,100.0,55,5.0,42.24,75.0,-32.76
38.7,29.59,31.71,1.31,1.22,100.0,25,5.0,55.08,75.0,-19.92
51.2,31.15,17.65,1.64,2.9,100.0,55,0.5,70.62,75.0,-4.38
52.8,23.38,23.82,2.26,2.22,100.0,40,2.0,70.19,75.0,-4.81
